date,Wind Speed,Pressure,Relative Humidity,Temperature,Solar Radiation
2011-01-01 00:00:00,3.0110416412,986.76184082,72.2958584384,13.5226587468,0
2011-01-01 01:00:00,3.0912427902,986.44140625,75.3761863906,12.8358140713,0
2011-01-01 02:00:00,3.0076494217,985.736511231,78.4051977932,12.198057723,0
2011-01-01 03:00:00,2.926715374,985.525695801,81.0429804965,11.583500451,0
2011-01-01 04:00:00,2.9151771069,985.661926269,82.548508167,11.029578064,0
2011-01-01 05:00:00,1.9378993511,985.723205566,65.2784940842,8.0986552141,0
2011-01-01 06:00:00,1.8151745796,986.249145508,67.0931809114,7.806704578,0
2011-01-01 07:00:00,1.6153101921,987.03894043,64.0354830712,9.0364084482,0
2011-01-01 08:00:00,1.4390883446,987.897399902,55.1056563096,12.1582804915,159
2011-01-01 09:00:00,1.0633740425,988.211914062,47.1669383553,14.9653005843,363
2011-01-01 10:00:00,0.5456948876,988.054504394,36.7470866534,18.956081878,533
2011-01-01 11:00:00,0.9801166058,987.463867188,29.1570150711,21.3540465771,649
2011-01-01 12:00:00,1.4119147062,986.386169434,27.5930707472,22.1612570486,698
2011-01-01 13:00:00,1.7479094267,985.736511231,27.2746951134,22.2562157538,675
2011-01-01 14:00:00,2.005286932,985.52154541,27.8192885165,21.7258844604,582
2011-01-01 15:00:00,2.2068793774,985.279663086,30.0232843382,20.5072687098,430
2011-01-01 16:00:00,2.3044645786,985.66809082,43.1877716151,18.1901056195,232
2011-01-01 17:00:00,2.5168709755,986.169921875,49.3467200218,15.6659564524,25
2011-01-01 18:00:00,2.6667060852,986.536682129,50.8182186487,14.7287796276,0
2011-01-01 19:00:00,2.7096822262,987.17578125,52.122064069,13.9152109613,0
2011-01-01 20:00:00,2.7137458324,987.245666504,53.7825490881,13.1063947099,0
2011-01-01 21:00:00,2.701125145,986.971374512,55.6134510978,12.3262170405,0
2011-01-01 22:00:00,2.6397087574,986.042419434,57.4583575371,11.5709822373,0
2011-01-01 23:00:00,2.5116455555,985.439819336,59.4466144599,10.8698490921,0
2011-01-02 00:00:00,2.3609120846,984.838195801,61.3454924895,10.2313503415,0
2011-01-02 01:00:00,2.1939337254,984.457092285,63.5663748566,9.6534065085,0
2011-01-02 02:00:00,1.9048460722,984.032226562,66.5093756852,9.1658226379,0
2011-01-02 03:00:00,1.5978398323,984.161560059,69.9230651542,8.7738358104,0
2011-01-02 04:00:00,1.3597279787,984.438598633,71.7678868485,8.3531879749,0
2011-01-02 05:00:00,1.1940404177,985.138671875,73.846774663,7.9714029945,0
2011-01-02 06:00:00,1.0474625826,985.979248047,74.1980556068,7.6246484357,0
2011-01-02 07:00:00,0.8946401477,986.882507324,77.1756465554,8.8054187564,0
2011-01-02 08:00:00,0.9766710997,987.408203125,51.5051390671,11.8710077646,158
2011-01-02 09:00:00,0.9601789117,988.044189453,49.7728208182,14.7098093445,358
2011-01-02 10:00:00,0.6767435074,987.881408691,38.852613871,18.7419450036,537
